lam,beta1,f_ede,w0,wa,sigma8,H0,theta_s,delta_theta_s_sigma
1.1,0.02,0.05,-0.8206291503398271,-0.24857849570672066,0.7810381969137801,68.2390750054854,1.0361178393822101,13.614064155154834
1.1,0.03,0.05,-0.8230570216902945,-0.25431482046880294,0.785159299293614,68.22908769462204,1.033369106302764,22.776507753308938
1.1,0.04,0.05,-0.8254770287711778,-0.2599667722659518,0.7906373862814944,68.21511571742002,1.0296320497192952,35.23336303153787
1.1,0.05,0.05,-0.8278893090292795,-0.26553307555244543,0.7974956305958648,68.19716924618399,1.0249177586280749,50.94766666893902
1.1,0.06,0.05,-0.8302939931145616,-0.27101238795533156,0.8057628827752034,68.17526135401594,1.0192402376920717,69.8727364556162
1.1,0.07,0.05,-0.832691205229686,-0.2764032982734582,0.81547380819512,68.14940799113967,1.0126163402688442,91.95239453304139
1.1,0.08,0.05,-0.8350810624604917,-0.2817043244859049,0.8266690473984327,68.11962796419661,1.0050656888472975,117.12123260486356
1.1,0.1,0.05,-0.8398391445186711,-0.2920304284633938,0.8537060476161421,68.04837727943307,0.98727588881098,176.42056605925512
1.1,0.12,0.05,-0.8445690298289588,-0.30197734112194363,0.8873262084234275,67.9617158979106,0.9660793582160939,247.07566804220892
0.9,0.02,0.05,-0.8819763254630452,-0.17582125088092165,0.7806510789523412,68.23907500506779,1.0322693636412117,26.442316625149658
0.9,0.03,0.05,-0.8839247475490823,-0.18039682251175798,0.7845792936410129,68.22908769443485,1.0295897514929722,35.37435711928143
0.9,0.04,0.05,-0.8858626731731155,-0.1848728281964343,0.7898631890958099,68.2151157173761,1.0259247733445096,47.590950947489965
0.9,0.05,0.05,-0.8877902111681539,-0.1892481442908845,0.7965249559355658,68.19716924628304,1.0212853365286008,63.055740333852754
0.9,0.06,0.05,-0.8897074631502139,-0.19352158242092204,0.8045924520744548,68.17526135418827,1.0156852573811062,81.72267082550145
0.9,0.07,0.05,-0.8916145237482304,-0.19769188792313724,0.8140993332710635,68.14940799140287,1.0091411950752829,103.53621184491236
0.9,0.08,0.05,-0.8935114801124691,-0.20175773809953362,0.8250852069921525,68.11962796447344,1.0016725728832958,128.43161915153593
0.9,0.1,0.05,-0.897275390863343,-0.20957043076048668,0.8516832232218832,68.0483772797849,0.9840525966467474,187.16487327336404
0.9,0.12,0.05,-0.9009997395036562,-0.21694764886249587,0.884829838808429,67.96171589826419,0.963032186991952,257.2329054560152
