lam,beta,w0,wa,EDE,fs8_0,nec_ok,ede_ok,w0_in_range,valid
0.1,0.0,-0.9985247840160396,-0.0021546379562356593,1.2869248624962337e-09,0.26217191157223985,True,True,True,True
0.1,0.01,-0.9989678051129685,-0.0025816166388697866,3.052889106508015e-05,0.26232575189611923,True,True,True,True
0.1,0.02,-0.9993297811746154,-0.0026947459472850305,0.00012207479829115547,0.26220566277213875,True,True,True,True
0.1,0.03,-0.9996144627610315,-0.002492782529541446,0.00027452822127866495,0.2623253892811144,True,True,True,True
0.1,0.04,-0.9998217476722429,-0.0019719649071137596,0.0004877046406368444,0.2626855517515134,True,True,True,True
0.1,0.05,-0.9999507145259013,-0.0011254496583817228,0.0007613459503996283,0.26328678170456493,True,True,True,True
0.2,0.0,-0.9940890688551158,-0.008591644121487118,1.2978058003336644e-09,0.2618445505150414,True,True,True,True
0.2,0.01,-0.9950225158431667,-0.00960358567459747,3.0528883020064996e-05,0.2622803693415023,True,True,True,True
0.2,0.02,-0.9958551726351639,-0.010308965162108597,0.00012207477730649511,0.2619356675259599,True,True,True,True
0.2,0.03,-0.9966282573855593,-0.01069515216825222,0.0002745281829089478,0.26233770265812467,True,True,True,True
0.2,0.04,-0.9973130380503342,-0.010773133987389327,0.00048770459080002727,0.2624719280933358,True,True,True,True
0.2,0.05,-0.9979391854933529,-0.010509798353710782,0.000761345885448067,0.2633540440996782,True,True,True,True
0.3,0.0,-0.9866992624042217,-0.01922412317258651,1.30877873599139e-09,0.2619855068940651,True,True,True,True
0.3,0.01,-0.9880846281485254,-0.020828759187950477,3.052888560938258e-05,0.2616892707265502,True,True,True,True
0.3,0.02,-0.9894308165325927,-0.022119467395989273,0.00012207475667440416,0.2621310975943912,True,True,True,True
0.3,0.03,-0.9906793586048679,-0.02310472274087657,0.00027452815060554866,0.26230629702011765,True,True,True,True
0.3,0.04,-0.9918606411991244,-0.023774068598862254,0.0004877045430259419,0.26271985057117825,True,True,True,True
