lam,beta,w0,wa,fs8_0,EDE,G_eff,fs8_ratio
0.1,0.0,-0.9985247840160396,-0.0021546379562356593,0.26217191157223985,1.2869248624962337e-09,1.0,1.000878530212501
0.1,0.025,-0.9994841048260099,-0.0026297699922102785,0.262554331041513,0.00019069787369794844,1.00125,1.0023384708828624
0.1,0.05,-0.9999507145259013,-0.0011254496583817228,0.26328678170456493,0.0007613459503996283,1.005,1.005134705379122
0.1,0.075,-0.9999224739386446,0.002402943100902585,0.26489053285042774,0.0017076283731294413,1.01125,1.011257253290802
0.1,0.1,-0.9993923360763048,0.007966170056613497,0.2668621435705993,0.0030223769897149617,1.02,1.0187841574046808
0.1,0.125,-0.9983602724006516,0.015571332393462983,0.26920902492706095,0.0046956141231618955,1.03125,1.027743710503073
0.1,0.15,-0.9967620290239649,0.025582434153226783,0.2729800884172908,0.0067146119622020625,1.045,1.0421402812905551
0.1,0.175,-0.994654093237827,0.037652610331882344,0.27663792752985994,0.009063971064968538,1.06125,1.05610460192577
0.1,0.2,-0.9919428279261384,0.05226887624051987,0.2812439766022799,0.011725719762538469,1.08,1.0736888488347685
0.2,0.0,-0.9940890688551158,-0.008591644121487118,0.2618445505150414,1.2978058003336644e-09,1.0,0.9996287828546979
0.2,0.025,-0.9962600815446973,-0.010537438487497393,0.26242400976315056,0.00019069784398270914,1.00125,1.001840950882491
0.2,0.05,-0.9979391854933529,-0.010509798353710782,0.2633540440996782,0.000761345885448067,1.005,1.0053914891312632
0.2,0.075,-0.9991216462743316,-0.008489218108114358,0.2646476589100217,0.001707628283665174,1.01125,1.0103300475079906
0.2,0.1,-0.9998067018681736,-0.004467354320128865,0.2663134447558058,0.0030223768808500463,1.02,1.016689421702498
0.2,0.125,-0.9999944155366481,0.0018119651605838943,0.2693850667841189,0.004695614001028964,1.03125,1.0284157753100591
0.2,0.15,-0.9996610836413549,0.01012790208193725,0.2723455959642872,0.00671461183002414,1.045,1.0397180161821964
0.2,0.175,-0.9987852611064093,0.02084290839921079,0.27623910160120674,0.009063970947422147,1.06125,1.0545820272651698
0.2,0.2,-0.9973564909744258,0.03390010309120771,0.2805741393945272,0.011725719649543031,1.08,1.0711316501022397
0.3,0.0,-0.9866992624042217,-0.01922412317258651,0.2619855068940651,1.30877873599139e-09,1.0,1.0001669038632195
0.3,0.025,-0.9900675108434358,-0.022649996611805265,0.2622519093255289,0.0001906978199480434,1.00125,1.001183933004326
0.3,0.05,-0.9929413398423722,-0.024143469635361074,0.2628690011167664,0.0007613458329495997,1.005,1.0035397686135492
0.3,0.075,-0.9953520175674898,-0.023644880689389105,0.26435508639286065,0.0017076282053017638,1.01125,1.0092131103456508
0.3,0.1,-0.9972621582561136,-0.021134028328532246,0.26621880634154604,0.00302237678361702,1.02,1.0163281261068031
0.3,0.125,-0.9986930713446238,-0.016458119800549467,0.26897988001149775,0.004695613902103047,1.03125,1.0268689172236587
0.3,0.15,-0.9996037848895339,-0.009613853265274397,0.2721518437301239,0.006714611718427606,1.045,1.0389783394937524
0.3,0.175,-0.9999871858962472,-0.0005427696824434151,0.27575448511724665,0.009063970853263806,1.06125,1.0527319349678144
0.3,0.2,-0.9998233909091535,0.011156475448732954,0.28032711689765083,0.011725719563036216,1.08,1.070188606615543
0.4,0.0,-0.9762952779300618,-0.033917169616679996,0.2615957081761664,1.3310037186191718e-09,1.0,0.9986787918625498
0.4,0.025,-0.9808856219188127,-0.038826377507879255,0.26205096352239304,0.00019069780128112363,1.00125,1.0004167938440365
0.4,0.05,-0.9849848748363412,-0.04183814803339821,0.26285465941253944,0.0007613457829573166,1.005,1.0034850171195338
0.4,0.075,-0.9885867797581186,-0.042922369948017944,0.2640251352672929,0.0017076281365760325,1.01125,1.0079534750337678
0.4,0.1,-0.9917471909704713,-0.041973094421977775,0.26607448444293313,0.003022376699849074,1.02,1.0157771567489688
0.4,0.125,-0.9944019289567918,-0.03897118249202609,0.26852218328597494,0.004695613819198025,1.03125,1.0251215949297594
0.4,0.15,-0.996594074170898,-0.03368482049306863,0.27188875791881634,0.006714611626436518,1.045,1.037973972021424
0.4,0.175,-0.9982552664744407,-0.026112999719107906,0.2757000933318358,0.009063970775594777,1.06125,1.0525242865972808
0.4,0.2,-0.9993739396413677,-0.016150926158450145,0.2799842214274542,0.011725719497847644,1.08,1.0688795544284921
0.5,0.0,-0.9629319592658961,-0.05246074651561115,0.2616981082783543,1.3536061121567073e-09,1.0,0.9990697188049398
0.5,0.025,-0.9686072409449862,-0.05887959669398001,0.26134731241455306,0.00019069779259484518,1.00125,0.9977305057425622
0.5,0.05,-0.9739472670001976,-0.06344346042475615,0.26232833792182825,0.0007613457434281686,1.005,1.0014757100321225
0.5,0.075,-0.9787945276680182,-0.06611975160208824,0.2636751863617127,0.0017076280762431987,1.01125,1.0066174953547624
0.5,0.1,-0.9832344512338784,-0.06678326159876458,0.2658957537167006,0.003022376627505882,1.02,1.0150948268017879
0.5,0.125,-0.9871702458823439,-0.06539453886268384,0.2685202470607127,0.004695613747453498,1.03125,1.02511420311466
0.5,0.15,-0.9905959444465267,-0.061883757942038625,0.27157149941413034,0.006714611550414757,1.045,1.0367627925935317
0.5,0.175,-0.9935070543454446,-0.05616945675736152,0.2750754808088055,0.009063970713464233,1.06125,1.0501397395256522
0.5,0.2,-0.9959628559734343,-0.0478234442451838,0.27956074544243026,0.011725719448499181,1.08,1.0672628746746267
0.6,0.0,-0.9464610964502009,-0.07460957268670529,0.2613228694701475,1.3882313969554593e-09,1.0,0.9976371913286572
0.6,0.025,-0.9533368595500288,-0.08252334886392158,0.2611558485725411,0.00019069778397391325,1.00125,0.9969995653163641
0.6,0.05,-0.9599470097734609,-0.08864416579982212,0.26230038158145846,0.0007613457054662595,1.005,1.0013689827298282
0.6,0.075,-0.9659421068623704,-0.0929729348058099,0.2633274958145747,0.0017076280232434535,1.01125,1.0052901372800496
0.6,0.1,-0.9715652104933815,-0.09538386724638738,0.2652214568456914,0.0030223765673738573,1.02,1.0125206026710054
0.6,0.125,-0.9768190583833892,-0.09572224066491292,0.2680039227432279,0.004695613688840861,1.03125,1.023143061656759
0.6,0.15,-0.9814453311533888,-0.09412326400120481,0.2707369741432462,0.006714611488954501,1.045,1.033576873775842
